featureid	Intercept	HostSubject[T.B]	HostSubject[T.C]	HostSubject[T.D]	HostSubject[T.E]	HostSubject[T.F]	HostSubject[T.G]	HostSubject[T.H]	HostSubject[T.I]	HostSubject[T.J]	brushing_event[T.before]	HostSubject[T.B]:brushing_event[T.before]	HostSubject[T.C]:brushing_event[T.before]	HostSubject[T.D]:brushing_event[T.before]	HostSubject[T.E]:brushing_event[T.before]	HostSubject[T.F]:brushing_event[T.before]	HostSubject[T.G]:brushing_event[T.before]	HostSubject[T.H]:brushing_event[T.before]	HostSubject[T.I]:brushing_event[T.before]	HostSubject[T.J]:brushing_event[T.before]	final_volume_mL	final_tube_weight_g
99647b51f775c8ddde8ed36a7d60dbcd	-0.36432432337398	-3.97176565805982	-5.2856698932392305	-6.70341462312	-5.23516880348325	-4.59902615730784	-5.7991556480526905	-5.542379851745711	-5.9184644211615804	-6.1640879605032	6.12278491817415	-6.84543004698519	-5.46719079986215	-5.58624726629683	-5.4984627620184	-5.78477750292846	-4.86541397284184	-5.617550998287539	-5.44348118211575	-5.543599117680321	-1.25501462281349	1.42726759676755
51121722488d0c3da1388d1b117cd239	-0.667826763826555	-5.07546438852857	-3.58410283944437	-5.24186379132526	-4.04817210510373	-4.18683932607195	-4.91114431172609	-4.69395529787455	-4.78506922615426	-4.29716844298611	5.277458434924481	-5.8332873887515495	-5.12162041440606	-5.83570459580847	-5.48091034152146	-4.791653792772969	-4.38669393371258	-3.8658618026546097	-5.4099922416681805	-4.939970959110981	-1.4218990600169	1.4325302412633703
d599ebe277afb0dfd4ad3c2176afc50e	-1.32748167915935	-3.78419614414285	-6.91167697331735	-4.20793599305408	-4.09470115974545	-2.74579448883555	-4.55296498090029	-3.45552944700633	-4.33068334949868	-4.34399015643368	4.60613912902772	-4.909989149043599	-3.1416960336267996	-3.6269785771412497	-4.23985334791775	-4.75363049975463	-4.6425334901682005	-4.3222254806331195	-4.44349644090481	-4.585109401627309	-1.01933007896545	1.20635792677224
39c4199fe81f30a5b4b0fd5bf2f43c03	-2.3876852910100896	-4.77816017548155	-2.4220558109028	-5.2798270624663095	-5.94332288578153	-4.2413237530472	-4.43978195935488	-3.6155343012085996	-3.76496982468026	-5.139169761917691	4.43930668197572	-4.44455042547945	-5.8458979703486005	-4.815196097855059	-3.6602253571951002	-4.70102665892669	-4.08586038063679	-4.439224629955629	-5.665154521721081	-3.3653397449691402	-1.07795130670669	1.3304582915169099
4629fbb5dde5f8ee07c2259d2887a8d4	-0.8327353517591422	-4.66117890755247	-3.0936160983783902	-6.061112109997441	-4.85434063151479	-3.5663767594577997	-5.8175012461841105	-4.602300043510541	-4.11206936729806	-6.15750272665838	4.28335530124605	-4.16387191481356	-4.9021617747843305	-3.19866973257491	-3.81032058157559	-4.312680582915029	-4.259068021284681	-3.9217976623347797	-4.83018789197751	-3.9185767063338797	-0.9057418948471808	1.08452107076467
f18a9c8112372e2916a66a9778f3741b	1.5152738173425702	-8.700543543496831	-4.43142911813089	-7.1095974486853395	-4.14493035152555	-7.9359490412952605	-5.42010250240564	-5.741071204947571	-4.81522369278329	-4.12550301291714	5.5313804205507004	-5.33617797560458	-5.81206697002053	-7.32387179232069	-6.38525428928967	-5.698920946036071	-6.04296560000096	-4.83054622943912	-5.94063166286297	-5.243709046526679	-1.59147667348984	1.3204293182951299
a9b4a380d3b76755de55410a3b856df4	-1.22774153156871	1.5468481572477901	-4.5541733803493605	-2.50894660172718	-2.34535490348935	-0.662319852757666	-4.41076296120882	-4.56477617781077	-1.53732371223824	-3.88262696006069	2.8023143466562	-3.65047159857516	-0.9603443719446659	0.0186869492488251	-2.54254087366696	-2.06294641963073	-0.8561156482568809	-2.34143486555134	-1.2312829246694599	-1.1018805393417	-0.0660662299454478	0.436105535076266
f6eb8537456dde7792eff60c8d1e797c	-0.48503842158908295	-1.5375317541749298	-7.118215054486481	-5.786302987911871	-4.11197208240628	-3.30019004528544	-4.760070021450519	-8.03528427641307	-6.72644859445947	-7.68674142100582	6.20080368034542	-6.89236372403268	-2.6791158296167903	-2.9403701434178	-5.413945692857459	-5.17928824893066	-3.8726685733667403	-5.32903098996196	-2.77982828523465	-1.22156618921352	-0.565843666201856	0.875742659614688
0afabc98ba5f06d77586c65dd984e126	1.30350220994359	-3.80837660113882	-3.17383536717721	-4.14073604760425	-3.6022267229855096	-2.74866326038859	-4.103156740963461	-4.30166685144816	-3.7839198101844103	-4.4680062029577305	5.08683926425874	-4.437703282306241	-4.405860839039089	-3.79017156458327	-4.45113071360226	-4.96631250849792	-3.15165490816746	-4.56431475217853	-4.05744287874051	-4.21990000097347	-0.5328155404389171	0.6463132358056359
9eec995d1b7de24deb146bf87c62e8ef	1.37247682408696	7.784227231344469	0.6799782810466629	4.42795878233654	1.98471368476748	2.4103112679241003	1.06855637282133	1.51640940148916	1.74547696220023	5.3284714724802	-0.729620153084397	1.22906812958951	1.63100713714957	4.19711989068559	1.7446579083001998	2.5619126749890198	2.29562013436641	1.8802307552525	2.68692615125827	3.06163407476353	1.8126609677016499	-1.19114966626346
