id	loss	cross-validation	iteration
0	1143801.875	172.054306030273	0
1	986505.5	171.98582458496102	2
2	673895.75	161.328521728516	385
3	529977.0625	148.374420166016	836
4	303243.3125	142.754776000977	1279
5	540652.0625	139.759948730469	1708
6	439865.59375	137.245178222656	2138
7	493468.21875	135.68884277343798	2587
8	216916.5	133.642471313477	3042
9	396235.90625	132.214538574219	3498
10	166851.625	130.88235473632798	3960
11	342473.4375	129.524017333984	4423
12	124989.734375	127.958374023438	4889
13	265301.96875	126.34777069091801	5353
14	319005.5625	124.82706451416	5813
15	205635.46875	123.055160522461	6280
16	252763.640625	122.083946228027	6713
17	236823.6875	121.423439025879	7115
18	202836.234375	120.35482788085899	7580
19	191391.625	119.473983764648	8042
20	260916.90625	118.23858642578101	8498
21	208674.28125	116.741157531738	8917
22	315009.875	115.498016357422	9382
23	178443.125	114.809555053711	9849
24	234043.03125	114.966995239258	10316
25	200965.390625	114.161819458008	10781
26	226691.1875	113.448867797852	11248
27	245602.3125	113.09632110595699	11715
28	125507.5625	113.339912414551	12170
29	279374.46875	112.17953491210899	12634
30	191599.453125	112.87818145751999	13096
31	175070.1875	112.38037872314501	13551
32	307897.125	111.802734375	14019
33	220715.9375	111.74520111084	14483
34	90485.0703125	112.415092468262	14930
35	187337.3125	112.100898742676	15396
36	155036.6875	111.95402526855499	15861
37	277320.28125	112.51367950439501	16254
38	241901.125	111.829620361328	16704
39	196281.75	111.877159118652	17161
40	103257.3203125	111.674118041992	17619
41	346436.40625	111.765480041504	18061
42	180273.796875	111.425582885742	18469
43	210504.640625	111.194686889648	18931
44	260631.125	110.41443634033199	19394
45	143984.390625	110.94202423095699	19862
46	256014.546875	111.157592773438	20330
47	200462.546875	111.266319274902	20790
48	194914.78125	110.611228942871	21253
49	199434.046875	110.311981201172	21719
50	207985.03125	110.38299560546899	22185
51	295820.96875	110.69807434081999	22652
52	213291.3125	110.261558532715	23120
53	239816.703125	110.31884765625	23581
54	198294.0	110.66286468505899	24040
55	157385.375	110.709785461426	24508
56	163268.3125	110.570381164551	24976
57	252148.203125	110.07736968994101	25433
58	209752.703125	110.474487304688	25902
59	61384.6171875	110.376586914062	26364
60	115529.09375	110.31716156005899	26826
61	225117.421875	110.552940368652	27285
62	200939.796875	109.94636535644501	27705
63	75185.84375	109.992988586426	28160
64	244782.046875	109.821319580078	28629
65	279882.40625	110.073440551758	29096
66	187890.546875	110.676132202148	29563
67	311701.84375	110.967025756836	30022
68	175079.828125	111.36824798584	30488
69	257631.109375	110.80535888671899	30958
70	287166.9375	110.71360015869101	31426
71	305520.15625	110.520179748535	31895
72	151011.421875	110.524429321289	32363
73	249033.390625	110.18399810791	32835
74	227340.5	110.35140991210899	33300
75	161454.390625	110.426322937012	33770
76	159000.625	110.330024719238	34238
77	218991.859375	109.499313354492	34696
78	213852.421875	109.096748352051	35164
79	186597.828125	108.70695495605499	35632
80	221925.03125	109.37457275390601	36101
81	273206.03125	110.13636016845699	36563
82	107251.9765625	110.02993774414101	37030
83	172481.78125	109.827194213867	37426
84	205202.546875	109.810516357422	37889
85	227974.90625	110.057983398438	38349
86	247212.28125	109.693832397461	38817
87	235801.921875	109.719917297363	39286
88	229168.859375	110.16105651855499	39747
89	150595.640625	110.086387634277	40213
90	204372.953125	109.858085632324	40675
91	129670.8046875	109.486000061035	41131
92	178843.296875	109.85246276855499	41596
93	339964.03125	109.736373901367	42062
94	309448.625	109.502059936523	42514
95	191283.265625	109.695693969727	42983
96	227414.53125	109.589553833008	43453
97	152257.8125	110.088500976562	43911
98	195636.78125	110.038871765137	44378
99	90899.921875	109.69278717041	44841
100	236715.25	109.91463470459	44999
