id	loss	cross-validation	iteration
0	20769972.0	205.406631469727	0
1	17683384.0	205.396087646484	29
2	9598035.0	204.54737854003898	449
3	5253475.0	199.240997314453	869
4	3009327.5	190.895217895508	1244
5	2547950.0	167.43386840820298	1660
6	1232583.125	155.010406494141	2081
7	300094.8125	151.261047363281	2503
8	681707.875	148.074356079102	2916
9	1247617.375	149.391128540039	3341
10	345028.8125	148.62942504882798	3765
11	706401.375	147.527648925781	4180
12	425615.53125	148.07229614257798	4597
13	188297.9375	141.995697021484	5021
14	220119.984375	128.392395019531	5446
15	84795.0625	127.311553955078	5864
16	148477.34375	126.650894165039	6288
17	155740.296875	126.12890625	6714
18	123125.65625	124.952926635742	7138
19	97023.6640625	124.17404937744101	7562
20	87766.15625	124.8447265625	7984
21	73890.21875	124.61190032959	8405
22	100064.359375	125.31021118164101	8828
23	77163.671875	124.083076477051	9247
24	91030.59375	124.882522583008	9672
25	84371.25	124.394004821777	10024
26	51201.640625	124.544227600098	10448
27	56798.859375	124.32511138916	10867
28	67982.1484375	124.831825256348	11284
29	83415.5625	123.971817016602	11725
30	92059.734375	124.262069702148	12173
31	102201.859375	124.370674133301	12609
32	52883.7421875	124.654685974121	13050
33	72857.984375	124.20004272460899	13495
34	58562.9609375	124.858261108398	13942
35	55945.421875	124.6279296875	14382
36	48041.90625	124.327110290527	14828
37	77362.8984375	124.98696899414101	15272
38	54605.52734375	125.30020904541	15719
39	62049.390625	125.24034881591801	16164
40	56349.1875	124.98526763916	16613
41	77990.3359375	125.261512756348	17058
42	60807.58984375	125.446815490723	17502
43	50176.2109375	125.756958007812	17947
44	80716.2734375	125.792518615723	18395
45	54797.828125	125.93825531005899	18821
46	47960.4609375	126.157196044922	19220
47	89465.6875	125.46395111084	19652
48	73235.1015625	125.49584197998001	20084
49	88208.9140625	126.109825134277	20520
50	49752.6953125	126.23302459716801	20955
51	45392.546875	126.928657531738	21369
52	69076.34375	126.48166656494101	21746
53	52569.1640625	126.71768951416	22178
54	77498.65625	127.17458343505899	22600
55	77025.5390625	126.590850830078	23026
56	89793.0234375	126.85329437255899	23456
57	43789.703125	126.89269256591801	23889
58	57046.9921875	127.47580718994101	24324
59	81200.8125	127.018272399902	24758
60	48604.875	127.53630065918001	25193
61	68661.046875	127.137832641602	25631
62	56658.77734375	127.85193634033199	26070
63	76288.3046875	127.21076965331999	26508
64	80787.515625	127.761436462402	26944
65	71880.453125	128.136459350586	27378
66	71388.0234375	127.39372253418001	27763
67	39759.5625	128.49951171875	28197
68	76847.328125	128.487319946289	28629
69	61485.7421875	128.82829284668	29064
70	59262.50390625	128.533874511719	29500
71	72051.9453125	128.393325805664	29910
72	56973.234375	128.7587890625	30343
73	53599.63671875	128.603820800781	30778
74	52722.0078125	129.446838378906	31213
75	46242.83984375	128.951568603516	31647
76	58787.6328125	129.122543334961	32086
77	55268.2890625	129.336318969727	32520
78	50785.0	129.23127746582	32956
79	47528.05078125	129.403579711914	33390
80	150913.375	129.600723266602	33815
81	48129.2734375	129.004653930664	34135
82	101947.7578125	129.446029663086	34509
83	84056.1640625	129.796722412109	34859
84	49440.94921875	129.298355102539	35187
85	37021.46875	129.20524597168	35488
86	67466.140625	129.8916015625	35818
87	44458.59375	130.004318237305	36161
88	68900.421875	129.807479858398	36467
89	66773.7265625	130.456634521484	36799
90	39819.77734375	130.43180847168	37161
91	46310.5078125	129.827774047852	37515
92	35768.109375	129.874114990234	37834
93	78814.8125	130.340347290039	38160
94	79175.4453125	130.038955688477	38463
95	53840.2734375	130.692153930664	38782
96	83924.9296875	130.379211425781	39217
97	38509.0390625	130.599411010742	39649
98	37046.140625	130.5234375	40085
99	38842.8828125	131.29660034179702	40515
100	81075.140625	130.671463012695	40951
101	44179.7109375	131.89938354492202	41385
102	74192.6171875	131.26394653320298	41820
103	51311.90625	130.611587524414	42255
104	55597.9140625	131.22384643554702	42691
105	44011.9609375	130.844863891602	43126
106	93850.9375	131.377426147461	43564
107	58119.8671875	131.37918090820298	43970
108	41382.6640625	131.152679443359	44348
109	50120.21875	131.997634887695	44774
110	38176.77734375	131.810684204102	44999
