id	loss	cross-validation	iteration
0	1157439.0	172.054306030273	0
1	626715.8125	171.280181884766	27
2	809596.875	159.003768920898	469
3	584421.8125	147.55212402343798	887
4	450248.75	142.090957641602	1348
5	611505.8125	139.06466674804702	1799
6	240941.6875	136.390060424805	2260
7	71088.828125	135.197906494141	2720
8	178292.625	132.995529174805	3181
9	458005.5625	131.71272277832	3638
10	327318.96875	130.62028503418	4093
11	435522.15625	129.34835815429702	4542
12	311349.25	127.71851348876999	5003
13	364485.34375	126.016151428223	5465
14	194478.34375	124.42366027831999	5926
15	275837.6875	122.589065551758	6386
16	208366.5	122.064735412598	6846
17	212082.734375	121.56224822998001	7308
18	240795.5	120.647850036621	7769
19	400488.4375	119.163505554199	8228
20	310643.8125	118.05160522460899	8687
21	191120.015625	117.38454437255899	8999
