id	loss	cross-validation	iteration
0	1157439.0	172.054306030273	0
1	962172.875	166.681869506836	35
2	449732.4375	137.77023315429702	490
3	355562.5	129.035095214844	944
4	228080.6875	124.185264587402	1386
5	240699.75	118.903930664062	1842
6	282138.1875	114.080619812012	2295
7	276273.5	113.90041351318399	2746
8	244646.921875	111.69504547119101	3158
9	333719.0625	112.343650817871	3614
10	157009.90625	111.915946960449	4072
11	173697.4375	111.52621459960899	4529
12	274620.0	111.362236022949	4977
13	268817.03125	110.746620178223	5435
14	210125.734375	109.403770446777	5895
15	178133.3125	108.667205810547	6354
16	167445.453125	110.688827514648	6813
17	145737.859375	110.829086303711	7259
18	234452.046875	110.92893218994101	7712
19	212726.84375	109.14860534668001	8167
20	280482.34375	110.380439758301	8617
21	186031.34375	110.516319274902	9073
22	101662.921875	109.761161804199	9529
23	222744.25	109.99597930908199	9979
24	217154.75	111.24243927001999	10427
25	229416.265625	109.969520568848	10886
26	193671.46875	109.37915802001999	11345
27	264622.625	111.514434814453	11769
28	134666.21875	109.886421203613	12162
29	239159.625	108.052803039551	12565
30	103823.40625	110.338066101074	12972
31	207035.9375	108.785087585449	13336
32	163343.5	109.90802001953101	13707
33	246986.28125	109.06922149658199	14087
34	253773.875	109.36756134033199	14476
35	236310.25	110.18084716796899	14883
36	155822.859375	110.048324584961	15312
37	150438.1875	110.637466430664	15703
38	242746.296875	109.717826843262	16083
39	238655.625	109.259925842285	16461
40	278683.90625	109.047088623047	16860
41	193477.234375	109.32804107666	17330
42	173094.328125	109.25897216796899	17799
43	266240.34375	110.045692443848	18265
44	191390.78125	108.944435119629	18724
45	127564.078125	109.071220397949	19191
46	129807.4375	109.08511352539101	19660
47	235357.890625	109.723770141602	20127
48	262190.28125	108.71834564209	20582
49	257143.0	108.47885131835899	21031
50	260473.875	109.236045837402	21498
51	230735.796875	109.84220123291	21943
52	211306.15625	110.10212707519501	22384
53	161507.125	110.190635681152	22842
54	155288.765625	109.532730102539	23304
55	218927.109375	109.74680328369101	23757
56	148072.96875	108.77587890625	24211
57	262607.21875	109.779922485352	24670
58	228555.421875	110.203735351562	25138
59	214516.234375	108.518501281738	25605
60	217138.90625	109.876655578613	26063
61	223624.125	109.85050201416	26527
62	296929.8125	109.12183380126999	26995
63	253320.015625	109.270896911621	27442
64	173761.1875	108.61731719970699	27900
65	274380.75	108.64129638671899	28363
66	195249.515625	110.39952850341801	28831
67	170425.4375	110.17911529541	29299
68	288699.15625	111.733383178711	29765
69	180536.75	111.587821960449	30182
70	195148.65625	111.045616149902	30648
71	144303.21875	110.276329040527	31103
72	207439.53125	109.821876525879	31572
73	93239.921875	110.232803344727	32037
74	233539.0	109.67272186279301	32504
75	103183.6875	109.082763671875	32974
76	235696.40625	110.219566345215	33444
77	168956.59375	110.2578125	33908
78	249456.390625	107.974403381348	34377
79	319240.5	107.980506896973	34845
80	256807.46875	109.060089111328	35305
81	251453.296875	108.08805847168001	35770
82	171753.96875	111.458602905273	36231
83	243342.171875	108.97745513916	36700
84	173902.40625	109.403686523438	37161
85	169674.46875	110.325881958008	37617
86	305917.40625	109.012886047363	38082
87	267090.34375	108.46823883056601	38547
88	245364.84375	110.18871307373001	39022
89	229014.609375	109.880439758301	39482
90	170777.96875	110.185585021973	39914
91	321015.59375	109.256546020508	40380
92	213889.203125	108.217269897461	40848
93	186262.515625	109.40085601806601	41309
94	282729.3125	110.530235290527	41778
95	191611.203125	108.71579742431601	42245
96	121675.1328125	110.865287780762	42715
97	242422.125	108.95792388916	43185
98	311315.0	110.904754638672	43652
99	144965.09375	111.62429046630899	44120
100	316855.25	107.84024810791	44552
101	252673.21875	110.098579406738	44999
